Price,Close,High,Low,Open,Volume
Ticker,005930.KQ,005930.KQ,005930.KQ,005930.KQ,005930.KQ
Date,,,,,
2023-09-01,68811.140625,68811.140625,64643.705347711264,64740.622447183094,29738235
2023-09-04,69004.96875,70652.5592959972,68520.38329529495,70652.5592959972,26286495
2023-09-05,68520.3828125,69295.71953456507,68035.79736120933,68714.21699301626,12330239
2023-09-06,67841.96875,68617.30553571429,67551.21745535714,68520.3884375,11414620
2023-09-07,68229.6328125,68423.46699662642,67454.29607599432,67841.96444424716,13741241
2023-09-08,68132.71875,68132.71875,67454.29907539119,68035.80165362732,10688118
2023-09-11,68617.296875,68617.296875,67841.96018714689,68229.62853107345,11785462
2023-09-12,68326.546875,68811.13231382979,68229.62978723404,68617.29813829788,11688599
2023-09-13,68714.2109375,69392.63050952044,68132.70844719675,68908.04510093441,15955797
2023-09-14,69489.5546875,69586.47177911436,68617.30086297072,69004.96922942817,21041407
2023-09-15,69780.3046875,70071.05595703125,69198.8021484375,69489.55341796875,17823512
2023-09-18,68035.8046875,69489.56119791667,68035.8046875,69101.89279513889,16040727
2023-09-19,67648.1328125,68617.30376969914,67454.29862106017,68229.63538681949,11820188
2023-09-20,67454.296875,68132.71652747845,67357.3797817888,67841.96524784483,10873015
2023-09-21,66775.8828125,67648.13672441944,66678.96571117561,67066.63411647314,10796336
2023-09-22,66678.9609375,66775.87803188589,66194.3754655705,66194.3754655705,9897840
2023-09-25,67260.46875,67551.22005583573,66388.2148324928,66388.2148324928,13582516
2023-09-26,66832.7734375,68196.70758928571,66637.9257015306,68196.70758928571,13143470
2023-09-27,66637.921875,67319.88891173246,66443.0741502193,66832.7695997807,14886491
2023-10-04,65761.109375,65955.95710648148,64981.71844907408,65663.68550925926,23361149
2023-10-05,64981.71875,65663.68581334333,64981.71875,65566.26194715143,16108313
2023-10-06,64299.75390625,65566.26421046403,64299.75390625,65371.41647135417,14386527
2023-10-10,64689.4453125,65858.53167356928,64494.59758565512,64494.59758565512,19889202
2023-10-11,66443.078125,67612.16454362171,66150.80652034457,66832.77359787391,25209349
2023-10-12,67125.0546875,67904.44574337808,66443.08751360668,66832.78304154571,19311380
2023-10-13,66248.234375,66735.35374540441,65955.96275275736,66248.234375,9724086
2023-10-16,65566.2578125,66735.34413307949,65079.13851225854,66150.80097278974,12599299
2023-10-17,67612.1640625,68099.28340012608,65663.68671199567,65955.95831457133,17299253
